Motif,label
Compassion Transcends Species,Adaptation
Complacency,Misjudgment
Complicity in Unfair Systems,Power
Conflict Resolution,Differences
Conformity and Individuality,Perception
Conscious and Unconscious Bias,Perception
Consequence of Misplaced Admiration,Irony
Consequences of Actions over Time,Consequences
Consequences of Comparison,Cost
Consequences of Complacency,Change
Consequences of Deception,Cost
Consequences of Gullibility,Consequences
Consequences of Impulsivity,Perception
Consequences of Inaction,Consequences
Consequences of Misjudgment,Misjudgment
Consequences of Opportunism,Fate
Consequences of Oversight,Cost
Consequences of Rash Decisions,Consequences
Consider the Consequences,Wisdom
Consideration for Others,Wisdom
Consistency and Trust,Wisdom
Contentment,Behavior
Context Matters,Reality
Control of Emotions,Virtue
Cooperation and Interdependence,Misjudgment
Cost of Compromise,Cost
Cost of Deception,Cost
Cost of Living,Cost
Cost of Privilege,Cost
Counter-Deception,Cost
Counterproductive Force,Bravery
Courage and Action,Bravery
Courage and Safety,Bravery
Courtesy and Etiquette,Deception
Cowardice,Misfortune
Cowardly Revenge,Bravery
Critical Thinking,Wisdom
Critical Thinking and Independence,Perception
Criticism and Satire,Perception
Criticism is Inevitable,Reality
Cultural Differences,Differences
Cultural Misunderstanding,Differences
Cunning Often Outwits Itself,Deception
Cunning and Deceit,Desire
Cycle of Revenge,Revenge
Cycle of Vengeance,Revenge
Danger in Familiarity,Reality
Danger in Luxury,Revenge
Danger of Assumptions,Cost
Danger of Envy,Revenge
Dangers of Envy and Greed,Irony
Dangers of Excessive Pride and Self-Conceit,Fate
Dangers of Overambition,Consequences
Dangers of Rationalization,Consequences
Dealing with Loss and Embarrassment,Desire
Dealings and Contracts,Desire
Deception,Acceptance
Deception and Misrepresentation,Misjudgment
Deception and Opportunism,Fate
Deception and its Limitations,Perception
Decision Making,Wisdom
Decisiveness,Differences
Decisiveness and Self-trust,Decision-making
Delayed Gratification,Gratification
Democracy vs Tyranny,Dichotomies
Denial and Reality,Desire
Dependence and Vulnerability,Perception
Dependency and Autonomy,Perception
Desire and Disappointment,Desire
Desire for Affection and Approval,Desire
Desire vs Need,Dichotomies
Desperation,Acceptance
Dichotomy of Need and Want,Revenge
Dignity in Death,Bravery
Discernment,Reality
Discernment and Judgement,Virtue
Discernment in Accepting Advice,Decision-making
Discrepancy between Appearance and Reality,Misjudgment
Disguised Motives,Reality
Dishonesty,Power
Disposal of the Sheep Skin,Revenge
Disproportionate Reactions,Misjudgment
Disruption of Unity,Irony
Distractions,Reality
Dominance Hierarchy,Differences
Don't Judge by Appearances,Deception
Effective Communication,Wisdom
Effort and Persistence,Desire
Effort and Reward,Desire
Effort before Aid,Bravery
Emotional Intelligence,Wisdom
Emotional Resilience,Resilience
Empathy,Acceptance
Empathy and Perspective,Perception
Environmental Exploitation,Exploitation
Ethical Dilemma,Behavior
Everyone Has Value,Behavior
Exaggerated Actions,Reality
Existential Dangers,Adaptation
Expectation vs Reality,Dichotomies
Expectations Based on Roles,Consequences
Experimentation,Acceptance
Exploitation,Differences
Exploitation of Disunity,Irony
Exploitation of Vanity,Irony
Exposure of Secretive Behavior,Perception
External Influence,Differences
Failure of Communication,Cost
False Comradeship,Misfortune
False Heroism,Reality
False Intimidation,Acceptance
False Promises,Acceptance
False Promises and Excuses,Desire
False Security,Behavior
False Sense of Security,Irony
False Wisdom,Reality
Familiar Archetypes,Reality
Fatalism and Unavoidable Outcomes,Fate
Fear and Acceptance of Death,Revenge
Fear and Hope,Desire
Fear and Intimidation,Desire
Fear and Respect,Desire
Feasibility of Solutions,Cost
First Impressions,Acceptance
Flattery as Manipulation,Irony
Fleeting Beauty,Reality
Flexibility,Acceptance
Flexibility over Rigidity,Dichotomies
Foresight,Reality
Foresight and Consequences,Consequences
Foresight and Prudence,Virtue
Forgiveness vs Forgetting,Dichotomies
Fragile Nature of Power,Perspective
Freedom as a Reward,Adaptation
Freedom vs. Dependence,Dichotomies
Frustration and Resentment,Desire
Futility of Jealousy,Irony
Gaining Wisdom from Unfortunate Experiences,Adaptation
Generosity and Naivety,Irony
Genuine Friendship and Dependability,Virtue
Goal Assessment and Attainability,Decision-making
Gratitude,Acceptance
Gratitude and Contentment,Desire
Gratitude and Reciprocation,Acceptance
Gratitude for Small Gains,Misfortune
Greed,Acceptance
Greed Leading to Loss,Irony
Greed and Impatience,Desire
Greed and Risk,Desire
Gullibility,Misfortune
"Happiness is in Usage, not Ownership",Acceptance
Harmful Competition,Differences
Harmful Effects of Greed,Irony
Haste Makes Waste,Reality
Hasty Decisions,Misfortune
Hidden Intentions,Reality
Hidden Value,Behavior
Historical Prejudice,Differences
Hollow Criticism,Reality
Hospitality and Friendship,Wisdom
Human Behavior,Behavior
Human Experience,Behavior
Human Nature,Behavior
Human vs. Animal Instincts,Dichotomies
Human-Deity Relationship,Adaptation
Humility,Misfortune
Humility and Divine Will,Virtue
Humor at the Expense of Others,Irony
Hypocrisy,Power
Idea Implementation and Execution,Wisdom
Identity and Deception,Perception
Identity and Self-Esteem,Resilience
Identity and Self-Understanding,Resilience
Idle Threats,Reality
Illusion of Greener Pastures,Adaptation
Illusion of More,Revenge
Illusion of Response,Perception
Illusion of Safety,Revenge
Immediate Action in Face of Threat,Consequences
Immediate Gratification,Gratification
Immediate Gratification vs Long-term Gain,Gratification
Impact of Disruption,Cost
Impact of External Forces on Decision Making,Change
Imparting Life Lessons,Adaptation
Impermanence of Material Wealth,Fate
Impersonation vs. Transformation,Dichotomies
Implications of Isolation,Cost
Importance of Early Intervention,Consequences
Importance of Observation,Perspective
Importance of Patience and Timing,Decision-making
Importance of Perspective,Perspective
Importance of Reconciliation,Perspective
Importance of Self-Awareness,Acceptance
Impression Management,Differences
Impressionability and Influence,Perception
Impulsivity and its Consequences,Consequences
Inability to Distinguish Context,Perception
Incremental Progress,Change
Indirect Criticism of Impulsiveness,Consequences
Indirect Influence,Differences
Individual Preferences and Values,Perception
Individuality,Behavior
Individuality vs. Conformity,Dichotomies
Ineffectiveness of Persuasion without Leverage,Cost
Inequality,Differences
Inequality and Unfairness,Power
Inequity of Power Structures,Change
Inevitability of Change,Change
Inevitability of Fate,Fate
Inevitability of Truth,Fate
Influence of Environment,Cost
Ingenuity of Threats,Consequences
Ingratitude,Misfortune
Ingratitude after Relief,Misfortune
Inherent Nature,Behavior
Injustice,Acceptance
Innate Nature,Behavior
Inner Worth Over External Appearance,Acceptance
Innocence and Defenselessness,Virtue
Insight into Injustice,Adaptation
Insight into the Consequences of Actions,Consequences
Instinct and Survival,Desire
Interdependence in Nature,Change
Internal vs External Solutions,Dichotomies
Interpersonal Relationships,Wisdom
Interplay of Desperation and Ingenuity,Adaptation
Intrinsic vs Extrinsic Value,Change
Ironic Fate,Acceptance
Irony,Acceptance
Irony and Cosmic Justice,Adaptation
Irony of Actions,Consequences
Irony of Perception,Perspective
Irresponsible Leadership,Misjudgment
Irreversible Consequences of Division,Misjudgment
Judgment and Advice,Wisdom
Judgment based on Perception,Perception
Just Retribution,Acceptance
Justice and Retribution,Desire
Knowing Your Strengths and Limitations,Deception
Knowledge and Experience,Wisdom
Leadership and Influence,Wisdom
Learning from the Young,Adaptation
Limitations of Solutions,Cost
Literal vs. Figurative Understanding,Dichotomies
Loneliness and Misbehavior,Fate
Loss of Autonomy,Power
Loss of Identity and Respect,Virtue
Loss of Respect,Bravery
Loss of Wealth,Power
Love's Blindness,Revenge
Love's Transformative Power,Adaptation
Luck and Self-Reliance,Virtue
Maintaining Respect in Weakness,Bravery
Manipulation,Acceptance
Manipulation and Control,Desire
Manipulation and Deception,Desire
Manipulation and Exploitation,Desire
Manipulation and Persuasion,Desire
Manipulation and Vulnerability,Desire
Manipulation of Circumstances,Irony
Manipulation of Perception,Perception
Manipulation of Systems,Cost
Manipulation of Trust,Irony
Manipulation through Praise,Reality
Materialism and Vanity,Irony
Memory and Longing,Desire
Memory of Pain,Revenge
Message of Humility,Bravery
Mimicry Can Be Foolish,Deception
Miscommunication and Misunderstanding,Misjudgment
Misconceived Perceptions,Misjudgment
Misdirected Anger,Misjudgment
Misdirected Effort,Misjudgment
Misguided Retribution,Misfortune
Misinterpretation and Miscommunication,Misjudgment
Misinterpretation of Actions,Misjudgment
Misinterpretation of Intent,Misjudgment
Misjudgment of Impact,Misjudgment
Misleading Signs,Differences
Misperception,Misjudgment
Misplaced Assurances,Misfortune
Misplaced Faith,Misfortune
Misplaced Hope,Misfortune
Misplaced Trust,Misfortune
Misunderstanding Value,Reality
Misunderstanding of Social Signals,Perception
Misunderstanding of Success,Irony
Misuse of Opportunities,Power
Misuse of Power,Power
Mockery and Humiliation,Irony
Mockery of Ignorance,Irony
Moral Complexity,Behavior
Moral Corruption,Behavior
Moral Judgement,Behavior
Mutual Understanding,Acceptance
Natural vs Man-Made,Dichotomies
Nature and Nurture,Adaptation
Nature as an Unexpected Teacher,Adaptation
Naïveté and Wisdom,Virtue
Need for Balanced Lifestyle,Adaptation
Need vs Greed,Dichotomies
Neglect Equals Approval,Reality
No Gratitude from the Wicked,Revenge
No Small Act of Kindness Is Wasted,Deception
Non-Linear Path to Success,Consequences
Non-Linear Thinking,Wisdom
Opportunity Cost,Reality
Overconfidence,Misjudgment
Overconfidence and Complacency,Misjudgment
Overinterpretation,Misjudgment
Overreach and Overconfidence,Misjudgment
Painful Realization,Acceptance
Paradox of Wealth,Perspective
Paralysis through Fear,Reality
Parental Responsibility,Differences
Parental Wisdom,Reality
Patience,Acceptance
Patience and Frustration,Desire
Patience and Misplaced Expectations,Irony
Patience and Strategy,Desire
Paying Off Old Grudges,Irony
Peace as the Ideal Outcome,Adaptation
Perceived Social Status and Actual Help,Perception
Perceived Threat vs. Actual Threat,Dichotomies
Perception and Reality,Perception
Perception of Death,Perception
Perception of Divinity,Perspective
Perception of Freedom,Perspective
Perception of Happiness,Perception
Perception of Threat,Perception
Perception of Wealth and Success,Perception
Peril of Not Recognizing our Weaknesses,Irony
Perils of Group Think,Irony
Period of Deception,Cost
Permanent Scars,Acceptance
Perseverance and Consistency,Virtue
Persistence,Acceptance
Persistence and Problem Solving,Wisdom
Perspective and Context,Perception
Perspective and Interpretation,Perception
Persuasion Over Force,Reality
Perverse Satisfaction,Misfortune
Pitfalls of Naivety,Irony
Pleasure vs Truth,Dichotomies
Power Dynamics,Differences
Power Dynamics Can Shift,Cost
Power Dynamics and Respect,Perception
Power of Context,Perspective
Power of Early Habits,Adaptation
Power of Unity,Adaptation
Power of Words,Revenge
Power of Words and Signals,Adaptation
Practicality,Behavior
Practicality Over Passivity,Cost
Practicality over Appearance,Dichotomies
Practicality over Extravagance,Change
Pragmatism,Fate
Pragmatism and Presence of Mind,Fate
Pragmatism vs Imagination,Fate
Predation and Exploitation,Exploitation
Premature Expectations,Acceptance
Preparation and Vigilance,Vigilance
Present vs Future,Dichotomies
Preservation of Self,Virtue
Pretext for Harm,Cost
Pride and Face-saving,Desire
Pride before a Fall,Revenge
Problem-Solving and Idea Generation,Decision-making
Promises and Greed,Desire
Protecting the Innocent,Bravery
Prudence,Acceptance
Public Humiliation and Criticism,Power
Public Opinion and Decision-Making,Decision-making
Quality of Life,Virtue
Quality over Quantity in Relationships,Change
Quest for Justice,Adaptation
Questioning Authority,Reality
Questioning Sources,Acceptance
Rash Decisions,Misfortune
Rationalization and Sour Grapes,Cost
Rationalization of Unfair Advantage,Cost
Reaction to Frustration,Perception
Reality Check,Acceptance
Reality vs Appearance,Dichotomies
Reality vs Illusion,Dichotomies
Reciprocity,Differences
Reciprocity of Actions,Consequences
Reciprocity of Kindness,Virtue
Recognize and Act on Threats Early,Deception
Recognizing Danger,Reality
Recognizing Shared Experiences,Wisdom
Recognizing Trivialities,Reality
Reconsidering Our Wishes,Consequences
Reflection on Leadership and Rule,Perception
Reflection on Power,Adaptation
Reformation through Kindness,Adaptation
Refuge and Risk,Exploitation
Relative Satisfaction,Behavior
Relativism of Suffering,Perspective
Relativity of Hardships,Adaptation
Reliability,Acceptance
Remembrance,Acceptance
Repercussions of Distrust,Consequences
Repercussions of Revenge,Consequences
Resilience,Resilience
Resilience and Adaption,Resilience
Resilience and Self-Reliance,Resilience
Resilience and Vulnerability,Resilience
Resilience in Hardship,Adaptation
Resistance to Logic and Reason,Perspective
Resisting Temptation,Reality
Resourcefulness,Wisdom
Respect for Diversity,Perception
Respect for Others’ Choices,Acceptance
Respect for the Concern of Others,Acceptance
Respectful Rebuttal,Bravery
Respecting Differences,Bravery
Respecting Freedom and Natural Habits,Deception
Responsibility,Acceptance
Responsibility and Accountability,Perception
Responsibility and Discipline,Perception
Responsibility and Maturity,Perception
Responsibility and Stewardship,Perception
Responsibility for One's Actions,Acceptance
Retribution,Acceptance
Retribution and Blame,Desire
Revenge,Acceptance
Revenge and Its Pitfalls,Desire
Risk Assessment,Differences
Risk Management and Lesser of Two Evils,Fate
Risk and Consequence,Cost
Risk of Ambition,Irony
Risk-Taking,Virtue
Role Evaluation,Differences
Role Modeling,Differences
Rural vs Urban Life,Dichotomies
Sacrifice and Vulnerability in Love,Adaptation
Scale of Response to Threats,Perception
Seeking Attention at the Cost of Credibility,Irony
Self Identity,Behavior
Self-Acceptance,Virtue
Self-Control,Virtue
Self-Deception,Virtue
Self-Delusion,Virtue
Self-Destruction,Virtue
Self-Loss,Virtue
Self-Preservation,Virtue
Self-Preservation and Fear,Virtue
Self-Reliance,Virtue
Self-Righteousness,Virtue
Self-awareness,Virtue
Self-awareness and Humility,Virtue
Self-destruction of Vices,Virtue
Self-interest and Manipulation,Virtue
Sensory Triggers,Differences
Severity of Small Wrongs,Consequences
Shift in Power Dynamics,Change
Shifting Moral Responsibility,Behavior
Short-Term Gain vs Long-Term Loss,Change
Short-sightedness,Virtue
Short-sightedness and Consequences,Consequences
Short-term Gains vs Long-term Consequences,Change
Significance of Experience in Decision-Making,Decision-making
Silence and Complacency in Injustice,Fate
Simplicity vs Complexity,Dichotomies
Simplicity vs Luxury,Dichotomies
Situational Irony,Adaptation
Skepticism,Acceptance
"Small Actions, Big Consequences",Consequences
Social Commentary,Wisdom
Social Consequences of Deception,Perception
Social Pressure and Conformity,Perception
Societal Preferences,Differences
Societal Pressure,Behavior
Societal Structures and Freedom,Perception
Sowing and Reaping,Desire
Strategic Planning,Differences
Strength Beyond Physicality,Adaptation
Strength in Diversity,Adaptation
Subjectivity of Perception,Perception
Subjectivity of Truth,Perspective
Subtle Anthropomorphism,Fate
Subtle Complexity,Reality
Subtle Details and Added Complexity,Adaptation
Superficiality vs Substance,Dichotomies
Surface Transformations,Differences
Survival Instinct,Differences
Survival Instincts,Differences
Survival Strategies,Differences
Survival and Interdependence,Change
Sustainability,Acceptance
Swift Justice,Acceptance
Symbolism,Acceptance
Symbolism of the Arrow,Bravery
Symbolism of the Sun and the Wind,Adaptation
Teachable Moment,Reality
Temptation and Testing,Desire
The Absurdity of Overreaction,Misjudgment
The Abuse of Trust,Irony
The Consequences of Arrogance,Revenge
The Consequences of Ignorance,Revenge
The Cost of Conformity,Change
The Cost of Revenge,Revenge
The Cycle of Fear,Revenge
The Cycle of Negativity,Change
The Danger of Exaggeration,Irony
The Danger of Illusions,Revenge
The Danger of Theoretical Knowledge without Practical Application,Change
The Dangers of Crying Wolf,Revenge
The Dangers of Pranksterism,Irony
The Deceptive Nature of Excuses,Irony
The Fragility of Individualism,Fate
The Futility of Certain Actions,Fate
The Human Condition,Behavior
The Illusion of Independence,Revenge
The Illusion of Invulnerability,Fate
The Illusion of Power,Revenge
The Illusion of Safety,Revenge
The Impact of Past Injuries,Consequences
The Importance of Inner Qualities,Acceptance
The Inevitable Consequences of False Pretences,Irony
The Irony of Desperation,Revenge
The Irony of Misplaced Value,Irony
The Limitations of Forgiveness,Adaptation
The Long-Term Effects of Negligence,Change
The Paradox of Choice,Perspective
The Power Dynamics,Behavior
The Power of Art and Narration,Adaptation
The Power of Indirect Solutions,Change
The Power of Personal Stories,Adaptation
The Power of Perspective,Perspective
The Power of Persuasion,Revenge
The Power of Subtlety,Revenge
The Power of Unity,Adaptation
The Power of Unity and Group Dynamics,Change
The Predatory Nature of Power,Revenge
The Price of Comfort and Security,Revenge
The Price of Ignorance,Revenge
The Reality of Hardship and Struggle,Adaptation
The Reward of Courage,Bravery
The Risk of Unchecked Competition,Change
The Role of Each Character,Adaptation
The Role of Effort in Success,Change
The Role of Fear in Maintaining Power,Change
The Role of Information,Perception
The Role of Observation,Perspective
The Strength of Collective Effort,Adaptation
The Use of Irony,Irony
The Value of Authenticity,Perspective
The Value of Freedom,Perspective
Tit for Tat,Reciprocity
Transient Nature of Material Possessions,Perspective
True Measure of Character,Perspective
Trust and Deceit,Desire
Tyranny,Misfortune
Underestimating the Consequences,Consequences
Underestimation and Respect,Fate
Understand What You Ask For,Deception
Understand Your Role,Deception
Understanding Boundaries,Reality
Understanding Consequences,Reality
Understanding Consequences of Actions,Consequences
Understanding Context,Wisdom
Understanding Differences,Wisdom
Understanding Different Perspectives,Wisdom
Understanding Intentions,Reality
Understanding Limitations,Reality
Understanding Limits,Reality
Understanding One's Adversaries,Acceptance
Understanding Risk,Reality
Understanding Strengths and Limitations,Wisdom
Understanding Your Limitations,Reality
Understanding beyond Face Value,Adaptation
Understanding limits,Reality
Understanding of One's Predicament,Acceptance
Understanding of Reality,Perspective
Understanding the Full Picture,Adaptation
Understanding the Nature of Annoyances,Adaptation
Understanding the Process,Wisdom
Unexpected Alliances,Acceptance
Unexpected Rewards,Reality
Unforeseen Consequences,Misjudgment
Unintended Consequences,Misjudgment
Unintended Discovery,Misfortune
Unintended Harm,Misjudgment
Unintended Power,Misfortune
Universal Application,Behavior
Universal Language of Kindness,Adaptation
Unjust Distribution of Rewards,Power
Unpredictability of Change,Fate
Unpredictability of Circumstances,Fate
Unpredictability of Life,Fate
Unrealistic Expectations,Misfortune
Unreciprocated Love,Misjudgment
Unsuccessful Reconciliation,Acceptance
Unutilized Wealth is Useless,Irony
Unwanted Help,Acceptance
Use and Disposal,Exploitation
Valor vs. Cowardice,Bravery
Value What You Have,Deception
Value is Subjective,Behavior
Value of Authenticity,Perspective
Value of Certainty,Perspective
Value of Every Role,Perspective
Value of Focus,Perspective
Value of Heeding Advice,Decision-making
Value of Humble Security,Perspective
Value of Intellect,Perspective
Value of Knowledge,Perspective
Value of Neutrality,Perspective
Value of Observation and Analytical Thinking,Perspective
Value of Patience,Perspective
Vanity and False Pride,Irony
Vanity as Weakness,Reality
Varying Degrees of Revenge,Irony
Vengeance,Acceptance
Victim Blaming,Reality
Vigilance Against Potential Threats,Vigilance
Vigilance and Observation,Vigilance
Vigilance and Wisdom,Vigilance
Voice as Identity,Reality
Vulnerability Hidden in Strength,Reality
Vulnerability and Compensating for Weakness,Change
Warning Against Complacency,Misjudgment
Wisdom in the Proverb,Adaptation
Wisdom of Experience,Adaptation
Wisdom of the Fox,Revenge
Wisdom vs. Innocence,Dichotomies
,Acceptance
